Front	Back	Tags
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>表头指针、头指针</h1><div class=""q"">指针head指向<span class=""blank"">______</span>中的<span class=""blank"">______</span>结点，head称为表<span class=""blank"">______</span>或头指针</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>表头指针、头指针</h1><div class=""a"">指针head指向<span class=""hit"">单链表</span>中的<span class=""hit"">表头</span>结点，head称为表<span class=""hit"">头指针</span>或<span class=""hit"">头指针</span></div><div class=""ansbox"">挖空答案：<b>单链表、表头、头指针</b></div><div class=""pg"">教材页码：P62</div>"	线性表 识记 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>单向循环链表</h1><div class=""q"">将<span class=""blank"">______</span>结点的指针指回<span class=""blank"">______</span>，从而形成一类新链表。在这样的链表中，从任何一个结点出发，沿着指针域的指示，可以再回到这个结点，好像转了一个圈, 可形象地称这样的链表为<span class=""blank"">______</span>，更准确地说，它是单向循环链表</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>单向循环链表</h1><div class=""a"">将<span class=""hit"">表尾</span>结点的指针指回<span class=""hit"">头结点</span>，从而形成一类新链表。在这样的链表中，从任何一个结点出发，沿着指针域的指示，可以再回到这个结点，好像转了一个圈, 可形象地称这样的链表为<span class=""hit"">循环链表</span>，更准确地说，它是单向<span class=""hit"">循环链表</span></div><div class=""ansbox"">挖空答案：<b>表尾、头结点、循环链表</b></div><div class=""pg"">教材页码：P72</div>"	线性表 识记 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>双向链表</h1><div class=""q"">在<span class=""blank"">______</span>中，除保留指向<span class=""blank"">______</span>结点的指针以外，再增加一个指向该结点的前驱结点的指针，即每个结点都含有两个指针，一个指向该结点的后继结点，另一个指向该结点的前驱结点。如果结点的前驱结点或后继结点不存在，则相应的指针为空。这样的链表称为双向链表，也称为<span class=""blank"">______</span></div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>双向链表</h1><div class=""a"">在<span class=""hit"">表结点</span>中，除保留指向<span class=""hit"">后继</span>结点的指针以外，再增加一个指向该结点的前驱结点的指针，即每个结点都含有两个指针，一个指向该结点的<span class=""hit"">后继</span>结点，另一个指向该结点的前驱结点。如果结点的前驱结点或<span class=""hit"">后继</span>结点不存在，则相应的指针为空。这样的链表称为双向链表，也称为<span class=""hit"">双链表</span></div><div class=""ansbox"">挖空答案：<b>表结点、后继、双链表</b></div><div class=""pg"">教材页码：P73</div>"	线性表 识记 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>双向循环链表</h1><div class=""q"">在空<span class=""blank"">______</span>中，头结点的nex t和 prev指针都为空。在非空双向链表中，头结点的 prev指针为空，表尾结点的加&amp;指针为空。也可以像<span class=""blank"">______</span>那样，将这些空指针利用起来，由此得到双向循环链表。在双向循环链表中，通过头结点的prev指针，可以方便地找到表尾结点，所以可以不定义<span class=""blank"">______</span></div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>双向循环链表</h1><div class=""a"">在空<span class=""hit"">双向链表</span>中，头结点的nex t和 prev指针都为空。在非空<span class=""hit"">双向链表</span>中，头结点的 prev指针为空，表尾结点的加&amp;指针为空。也可以像<span class=""hit"">单向循环链表</span>那样，将这些空指针利用起来，由此得到双向循环链表。在双向循环链表中，通过头结点的prev指针，可以方便地找到表尾结点，所以可以不定义<span class=""hit"">尾指针</span></div><div class=""ansbox"">挖空答案：<b>双向链表、单向循环链表、尾指针</b></div><div class=""pg"">教材页码：P75</div>"	线性表 识记 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>链式存储的基本思想</h1><div class=""q"">动态且灵活的存储方式，它不要求预先<span class=""blank"">______</span>一块连续的存储空间, 而是按需分配，随时需要，随时分配。同时不要求分配的空间必须是相邻的，而是由系统决定分配的具体<span class=""blank"">______</span>，既可以相邻，也可以不相邻</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>链式存储的基本思想</h1><div class=""a"">动态且灵活的存储方式，它不要求预先<span class=""hit"">分配</span>一块连续的存储空间, 而是按需<span class=""hit"">分配</span>，随时需要，随时<span class=""hit"">分配</span>。同时不要求<span class=""hit"">分配</span>的空间必须是相邻的，而是由系统决定<span class=""hit"">分配</span>的具体<span class=""hit"">位置</span>，既可以相邻，也可以不相邻</div><div class=""ansbox"">挖空答案：<b>分配、位置</b></div><div class=""pg"">教材页码：P62</div>"	线性表 领会 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>头结点的作用</h1><div class=""q"">头结点的作用：(1)使在第一个<span class=""blank"">______</span>插入和删除操作与其他位置的处理统一，无需特殊判断；(2)使<span class=""blank"">______</span>和非空表的处理一致，因为空表时头结点也存在；(3)头结点的数据域可用来保存链<span class=""blank"">______</span>度，方便求表长操作。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>头结点的作用</h1><div class=""a"">头结点的作用：(1)使在第一个<span class=""hit"">位置</span>插入和删除操作与其他<span class=""hit"">位置</span>的处理统一，无需特殊判断；(2)使<span class=""hit"">空表</span>和非<span class=""hit"">空表</span>的处理一致，因为<span class=""hit"">空表</span>时头结点也存在；(3)头结点的数据域可用来保存链<span class=""hit"">表长</span>度，方便求<span class=""hit"">表长</span>操作。</div><div class=""ansbox"">挖空答案：<b>位置、空表、表长</b></div><div class=""pg"">教材页码：P64</div>"	线性表 领会 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>操作位置</h1><div class=""q"">在链表中进行插入或删除操作时，需要通过setCurr函数从<span class=""blank"">______</span>开始遍历找到操作位置对应的<span class=""blank"">______</span>。位置值从0开始计数。插入时新结点作为当前指针curr所指结点的<span class=""blank"">______</span>；删除时删除curr所指结点的后继。由于链表不能随机访问，定位操作需要O(n)时间。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>操作位置</h1><div class=""a"">在链表中进行插入或删除操作时，需要通过setCurr函数从<span class=""hit"">表头</span>开始遍历找到操作位置对应的<span class=""hit"">结点</span>。位置值从0开始计数。插入时新<span class=""hit"">结点</span>作为当前指针curr所指<span class=""hit"">结点</span>的<span class=""hit"">后继</span>；删除时删除curr所指<span class=""hit"">结点</span>的<span class=""hit"">后继</span>。由于链表不能随机访问，定位操作需要O(n)时间。</div><div class=""ansbox"">挖空答案：<b>表头、结点、后继</b></div><div class=""pg"">教材页码：P63</div>"	线性表 领会 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>顺序访问的含义</h1><div class=""q"">在访问带<span class=""blank"">______</span>的<span class=""blank"">______</span>中的结点时，必须从头结点开始逐结点后移来寻找，这种访问方式是顺序访问方式</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>顺序访问的含义</h1><div class=""a"">在访问带<span class=""hit"">头结点</span>的<span class=""hit"">单链表</span>中的结点时，必须从<span class=""hit"">头结点</span>开始逐结点后移来寻找，这种访问方式是顺序访问方式</div><div class=""ansbox"">挖空答案：<b>头结点、单链表</b></div><div class=""pg"">教材页码：P71</div>"	线性表 领会 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>链表基本操作的实现及时间复杂度分析</h1><div class=""q"">若插入、删除的位置都在表的最前面，则<span class=""blank"">______</span>均为O(1) , 这是最方便的位置。如果<span class=""blank"">______</span>都在表尾，则时间复杂度均为O(n) , n是链表的长度。插入、删除操作的<span class=""blank"">______</span>也均为O(n)</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>链表基本操作的实现及时间复杂度分析</h1><div class=""a"">若插入、删除的位置都在表的最前面，则<span class=""hit"">时间复杂度</span>均为O(1) , 这是最方便的位置。如果<span class=""hit"">操作位置</span>都在表尾，则<span class=""hit"">时间复杂度</span>均为O(n) , n是链表的长度。插入、删除操作的<span class=""hit"">平均时间复杂度</span>也均为O(n)</div><div class=""ansbox"">挖空答案：<b>时间复杂度、操作位置、平均时间复杂度</b></div><div class=""pg"">教材页码：P71</div>"	线性表 简单应用 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>根据问题选择链表类型并实现相关操作</h1><div class=""q"">根据问题需求选择合适的链表类型：单链表适用于只需向后遍历的场景；<span class=""blank"">______</span>适用于需要从任意结点出发遍历全表的场景；<span class=""blank"">______</span>适用于需要频繁查找前驱的场景，插入删除需修改4个指针。选择后调用相应的插入、删除、查找等<span class=""blank"">______</span>。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>根据问题选择链表类型并实现相关操作</h1><div class=""a"">根据问题需求选择合适的链表类型：单链表适用于只需向后遍历的场景；<span class=""hit"">单向循环链表</span>适用于需要从任意结点出发遍历全表的场景；<span class=""hit"">双向链表</span>适用于需要频繁查找前驱的场景，插入删除需修改4个指针。选择后调用相应的插入、删除、查找等<span class=""hit"">基本操作</span>。</div><div class=""ansbox"">挖空答案：<b>单向循环链表、双向链表、基本操作</b></div><div class=""pg"">教材页码：P72</div>"	线性表 简单应用 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>能够计算结构性开销</h1><div class=""q"">对于有N个元素的<span class=""blank"">______</span>，采用<span class=""blank"">______</span>存储时，占用的空间为 N*（E + P ）, 其中E总是结点中<span class=""blank"">______</span>域占用的空间量，P是结点中指针域占用的空间量，用于数据的部分是N*E，属于有效部分，用于额外开销的部分是N*P，属于结构性开销部分</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>能够计算结构性开销</h1><div class=""a"">对于有N个元素的<span class=""hit"">线性表</span>，采用<span class=""hit"">单链表</span>存储时，占用的空间为 N*（E + P ）, 其中E总是结点中<span class=""hit"">数据</span>域占用的空间量，P是结点中指针域占用的空间量，用于<span class=""hit"">数据</span>的部分是N*E，属于有效部分，用于额外开销的部分是N*P，属于结构性开销部分</div><div class=""ansbox"">挖空答案：<b>线性表、单链表、数据</b></div><div class=""pg"">教材页码：P72</div>"	线性表 简单应用 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>基于链表设计算法来解决具体的应用问题</h1><div class=""q"">利用链表的动态分配和指针操作特性设计<span class=""blank"">______</span>。如：使用双指针法<span class=""blank"">______</span>倒数第k个结点（先让front走k步再同步走）；使用快慢指针查找中间结点；使用三指针法逆置<span class=""blank"">______</span>；将链表拆分为奇偶两个链表；合并两个有序链表等。链表插入删除不需移动元素但需遍历定位。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">线性表的链式存储及实现</span></div><h1>基于链表设计算法来解决具体的应用问题</h1><div class=""a"">利用链表的动态分配和指针操作特性设计<span class=""hit"">算法</span>。如：使用双指针法<span class=""hit"">查找</span>倒数第k个结点（先让front走k步再同步走）；使用快慢指针<span class=""hit"">查找</span>中间结点；使用三指针法逆置<span class=""hit"">单链表</span>；将链表拆分为奇偶两个链表；合并两个有序链表等。链表插入删除不需移动元素但需遍历定位。</div><div class=""ansbox"">挖空答案：<b>算法、查找、单链表</b></div><div class=""pg"">教材页码：P87</div>"	线性表 综合应用 线性表的链式存储及实现 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>空闲单元链表</h1><div class=""q"">可以针对实际应用的每类链表，定义一个“<span class=""blank"">______</span>”，<span class=""blank"">______</span>的结构与所使用链表的结构一致。伙伴链表用来管理&quot;<span class=""blank"">______</span>&quot;的结点，也可以将伙伴链表称为空闲单元链表; 将实际应用的的链表节点删除后只是将被删除的节点插入的空闲单元链表中。申请节点时优先取空闲单元链表的节点，减少频繁的malloc和free动作。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>空闲单元链表</h1><div class=""a"">可以针对实际应用的每类链表，定义一个“<span class=""hit"">伙伴链表</span>”，<span class=""hit"">表结点</span>的结构与所使用链表的结构一致。<span class=""hit"">伙伴链表</span>用来管理&quot;<span class=""hit"">暂时不用</span>&quot;的结点，也可以将<span class=""hit"">伙伴链表</span>称为空闲单元链表; 将实际应用的的链表节点删除后只是将被删除的节点插入的空闲单元链表中。申请节点时优先取空闲单元链表的节点，减少频繁的malloc和free动作。</div><div class=""ansbox"">挖空答案：<b>伙伴链表、表结点、暂时不用</b></div><div class=""pg"">教材页码：P78</div>"	线性表 识记 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>线性表有两种基本实现方式</h1><div class=""q"">分别是顺序实现和链式实现</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>线性表有两种基本实现方式</h1><div class=""a"">分别是顺序实现和链式实现</div><div class=""pg"">教材页码：P76</div>"	线性表 识记 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>静态链表</h1><div class=""q""><span class=""blank"">______</span>中的静态链表，即使用<span class=""blank"">______</span>实现的链表，还可以实现静态双向链表及静态<span class=""blank"">______</span></div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">识记</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>静态链表</h1><div class=""a""><span class=""hit"">数据结构</span>中的静态链表，即使用<span class=""hit"">一维数组</span>实现的链表，还可以实现静态双向链表及静态<span class=""hit"">循环链表</span></div><div class=""ansbox"">挖空答案：<b>数据结构、一维数组、循环链表</b></div><div class=""pg"">教材页码：P80</div>"	线性表 识记 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>顺序访问与随机访问方式的对比</h1><div class=""q"">随机访问（顺序表）：给定下标可直接计算存储地址并访问元素，<span class=""blank"">______</span>O(1)，支持按序号直接存取。顺序访问（链表）：必须从<span class=""blank"">______</span>开始逐个后移查找目标，<span class=""blank"">______</span>O(n)。顺序表既支持随机存取也支持顺序存取，链表只支持顺序存取。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>顺序访问与随机访问方式的对比</h1><div class=""a"">随机访问（顺序表）：给定下标可直接计算存储地址并访问元素，<span class=""hit"">时间复杂度</span>O(1)，支持按序号直接存取。顺序访问（链表）：必须从<span class=""hit"">头结点</span>开始逐个后移查找目标，<span class=""hit"">平均时间复杂度</span>O(n)。顺序表既支持随机存取也支持顺序存取，链表只支持顺序存取。</div><div class=""ansbox"">挖空答案：<b>时间复杂度、头结点、平均时间复杂度</b></div><div class=""pg"">教材页码：P77</div>"	线性表 领会 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>顺序表</h1><div class=""q"">顺序表是使用顺序<span class=""blank"">______</span>保存的<span class=""blank"">______</span>，用一组连续存储单元（<span class=""blank"">______</span>）依次存储各元素。逻辑上相邻的元素存储在物理相邻的单元中，支持随机访问。存储每个元素时空间紧凑无额外开销，但插入删除需移动元素，且需预分配足够大的数组空间。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>顺序表</h1><div class=""a"">顺序表是使用顺序<span class=""hit"">存储结构</span>保存的<span class=""hit"">线性表</span>，用一组连续存储单元（<span class=""hit"">一维数组</span>）依次存储各元素。逻辑上相邻的元素存储在物理相邻的单元中，支持随机访问。存储每个元素时空间紧凑无额外开销，但插入删除需移动元素，且需预分配足够大的数组空间。</div><div class=""ansbox"">挖空答案：<b>存储结构、线性表、一维数组</b></div><div class=""pg"">教材页码：P53</div>"	线性表 领会 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>链表和静态链表的使用条件</h1><div class=""q"">当<span class=""blank"">______</span>元素个数变化较大或未知时使用链表；事先知道大致长度时使用<span class=""blank"">______</span>，空间效率更高。链表在频繁插入删除时更优；顺序表在频繁随机访问时更优。<span class=""blank"">______</span>适用于不支持指针的语言环境，兼具顺序表空间整体性和链表灵活性。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>链表和静态链表的使用条件</h1><div class=""a"">当<span class=""hit"">线性表</span>元素个数变化较大或未知时使用链表；事先知道大致长度时使用<span class=""hit"">顺序表</span>，空间效率更高。链表在频繁插入删除时更优；<span class=""hit"">顺序表</span>在频繁随机访问时更优。<span class=""hit"">静态链表</span>适用于不支持指针的语言环境，兼具<span class=""hit"">顺序表</span>空间整体性和链表灵活性。</div><div class=""ansbox"">挖空答案：<b>线性表、顺序表、静态链表</b></div><div class=""pg"">教材页码：P77</div>"	线性表 领会 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>空闲单元链表的作用</h1><div class=""q"">将实际应用的的链表节点删除后只是将被删除的节点插入的<span class=""blank"">______</span>中。申请节点时优先取空闲单元链表的节点，减少频繁的malloc和free动作。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>空闲单元链表的作用</h1><div class=""a"">将实际应用的的链表节点删除后只是将被删除的节点插入的<span class=""hit"">空闲单元链表</span>中。申请节点时优先取<span class=""hit"">空闲单元链表</span>的节点，减少频繁的malloc和free动作。</div><div class=""ansbox"">挖空答案：<b>空闲单元链表</b></div><div class=""pg"">教材页码：P78</div>"	线性表 领会 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>静态链表的实现机制</h1><div class=""q""><span class=""blank"">______</span>用<span class=""blank"">______</span>实现链表，每个数组元素含数据域data和指针域next（存储下一个元素的数组下标，-1表示表尾）。数组首元素作为头结点，data域保存链表长度，next域保存第一个元素的下标。空闲单元分为从未使用的（用unused记录首位置）和曾用后释放的（用available链成<span class=""blank"">______</span>）。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">领会</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>静态链表的实现机制</h1><div class=""a""><span class=""hit"">静态链表</span>用<span class=""hit"">一维数组</span>实现链表，每个数组元素含数据域data和指针域next（存储下一个元素的数组下标，-1表示表尾）。数组首元素作为头结点，data域保存链表长度，next域保存第一个元素的下标。空闲单元分为从未使用的（用unused记录首位置）和曾用后释放的（用available链成<span class=""hit"">空闲单元链表</span>）。</div><div class=""ansbox"">挖空答案：<b>静态链表、一维数组、空闲单元链表</b></div><div class=""pg"">教材页码：P80</div>"	线性表 领会 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>静态链表基本操作的实现及时间复杂度分析</h1><div class=""q""><span class=""blank"">______</span>的本质是链表，初始化链表、清空链表、判空及判满操作的<span class=""blank"">______</span>都是O（1），因为插入及删除都需要寻找<span class=""blank"">______</span>，所以它们的时间复杂度都是O（n）</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>静态链表基本操作的实现及时间复杂度分析</h1><div class=""a""><span class=""hit"">静态链表</span>的本质是链表，初始化链表、清空链表、判空及判满操作的<span class=""hit"">时间复杂度</span>都是O（1），因为插入及删除都需要寻找<span class=""hit"">操作位置</span>，所以它们的<span class=""hit"">时间复杂度</span>都是O（n）</div><div class=""ansbox"">挖空答案：<b>静态链表、时间复杂度、操作位置</b></div><div class=""pg"">教材页码：P85</div>"	线性表 简单应用 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>根据问题选择顺序表</h1><div class=""q"">当问题需要频繁按<span class=""blank"">______</span>随机访问元素、元素个数已知且变化不大、插入删除操作较少时选择<span class=""blank"">______</span>。顺序表支持O(1)随机访问，空间紧凑无结构性开销，存储效率高。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>根据问题选择顺序表</h1><div class=""a"">当问题需要频繁按<span class=""hit"">位置</span>随机访问元素、元素个数已知且变化不大、插入删除操作较少时选择<span class=""hit"">顺序表</span>。<span class=""hit"">顺序表</span>支持O(1)随机访问，空间紧凑无结构性开销，存储效率高。</div><div class=""ansbox"">挖空答案：<b>位置、顺序表</b></div><div class=""pg"">教材页码：P77</div>"	线性表 简单应用 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>链表或静态链表并实现相关操作</h1><div class=""q"">当问题需要频繁插入删除、元素个数变化较大或未知时，选择链表或<span class=""blank"">______</span>。链表动态分配空间不需预分配；静态链表用<span class=""blank"">______</span>模拟指针操作，适用于无指针环境。实现插入删除时需先遍历定位<span class=""blank"">______</span>。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>链表或静态链表并实现相关操作</h1><div class=""a"">当问题需要频繁插入删除、元素个数变化较大或未知时，选择链表或<span class=""hit"">静态链表</span>。链表动态分配空间不需预分配；<span class=""hit"">静态链表</span>用<span class=""hit"">数组</span>模拟指针操作，适用于无指针环境。实现插入删除时需先遍历定位<span class=""hit"">操作位置</span>。</div><div class=""ansbox"">挖空答案：<b>静态链表、数组、操作位置</b></div><div class=""pg"">教材页码：P77</div>"	线性表 简单应用 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>根据问题选择顺序表</h1><div class=""q"">综合考虑操作类型、空间效率和已知条件选择<span class=""blank"">______</span>。以随机访问为主且长度已知选<span class=""blank"">______</span>；频繁增删且长度不确定选链表；需在无指针环境实现选<span class=""blank"">______</span>。临界值n=c×E/(P+E)，超过临界值顺序表更省空间。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>根据问题选择顺序表</h1><div class=""a"">综合考虑操作类型、空间效率和已知条件选择<span class=""hit"">存储结构</span>。以随机访问为主且长度已知选<span class=""hit"">顺序表</span>；频繁增删且长度不确定选链表；需在无指针环境实现选<span class=""hit"">静态链表</span>。临界值n=c×E/(P+E)，超过临界值<span class=""hit"">顺序表</span>更省空间。</div><div class=""ansbox"">挖空答案：<b>存储结构、顺序表、静态链表</b></div><div class=""pg"">教材页码：P77</div>"	线性表 综合应用 进一步讨论两种基本实现方式 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>链表或静态链表，设计算法来解决具体的应用问题</h1><div class=""q"">根据具体应用问题，利用链表或<span class=""blank"">______</span>的操作特性设计<span class=""blank"">______</span>。如：将链表拆分为奇偶两个子链表、合并两个有序链表、删除重复元素、判断是否递增有序、<span class=""blank"">______</span>倒数第k个结点（双指针法）、链表逆置等。需灵活运用指针操作和遍历技巧。</div>"	"<div class=""top""><span class=""chip c1"">章节：线性表</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">进一步讨论两种基本实现方式</span></div><h1>链表或静态链表，设计算法来解决具体的应用问题</h1><div class=""a"">根据具体应用问题，利用链表或<span class=""hit"">静态链表</span>的操作特性设计<span class=""hit"">算法</span>。如：将链表拆分为奇偶两个子链表、合并两个有序链表、删除重复元素、判断是否递增有序、<span class=""hit"">查找</span>倒数第k个结点（双指针法）、链表逆置等。需灵活运用指针操作和遍历技巧。</div><div class=""ansbox"">挖空答案：<b>静态链表、算法、查找</b></div><div class=""pg"">教材页码：P87</div>"	线性表 综合应用 进一步讨论两种基本实现方式 13003数据结构与算法
